Started at  2016-07-22 14:15:55.930817 
Rcpp  version is  0.12.6.2 
RcppArmadillo  version is  0.7.200.2.0 
R version 3.3.1 (2016-06-21) -- "Bug in Your Hair" 
  [1] "AbsFilterGSEA"        "ACEt"                 "AdaptiveSparsity"     "AHR"                  "Amelia"               "arrApply"             "ASPBay"               "aSPU"                
  [9] "BaBooN"               "BacArena"             "BayesComm"            "bayesm"               "bayou"                "bcp"                  "bfa"                  "BIFIEsurvey"         
 [17] "biglasso"             "BigVAR"               "BIPOD"                "blockmodels"          "blockseg"             "bootTimeInference"    "BTLLasso"             "bvarsv"              
 [25] "ccaPP"                "cccp"                 "cda"                  "CDM"                  "CFC"                  "ChannelAttribution"   "cIRT"                 "cladoRcpp"           
 [33] "coala"                "coneproj"             "copCAR"               "cord"                 "Countr"               "CoxPlus"              "crawl"                "Crossover"           
 [41] "DepthProc"            "dfcomb"               "dfmta"                "DiffusionRgqd"        "DiffusionRimp"        "DiffusionRjgqd"       "dina"                 "dnc"                 
 [49] "drgee"                "ECctmc"               "EloChoice"            "emIRT"                "EPGLM"                "EstHer"               "evolqg"               "FastBandChol"        
 [57] "fastM"                "FBFsearch"            "fdaMixed"             "FDRreg"               "FIACH"                "fICA"                 "FisHiCal"             "flip"                
 [65] "forecast"             "fourierin"            "fourPNO"              "FRESA.CAD"            "gaselect"             "GeneticTools"         "geoCount"             "GERGM"               
 [73] "GiRaF"                "gjam"                 "glamlasso"            "glcm"                 "glmBfp"               "glmgraph"             "GMCM"                 "Gmedian"             
 [81] "gmum.r"               "gmwm"                 "gMWT"                 "GPvam"                "gRain"                "graphicalVAR"         "gRbase"               "gRim"                
 [89] "growcurves"           "growfunctions"        "GSE"                  "hawkes"               "hkevp"                "HLMdiag"              "HSAR"                 "hsphase"             
 [97] "hypervolume"          "iBATCGH"              "icamix"               "iccbeta"              "iLaplace"             "immer"                "JAGUAR"               "jmcm"                
[105] "jmotif"               "kdecopula"            "KernelKnn"            "Langevin"             "lpme"                 "lsgl"                 "Luminescence"         "markophylo"          
[113] "markovchain"          "MAT"                  "matchingMarkets"      "matchingR"            "MatrixCorrelation"    "mcemGLM"              "mcIRT"                "mcmcse"              
[121] "MESS"                 "metafolio"            "mets"                 "mev"                  "milr"                 "minimaxdesign"        "mirt"                 "mirtCAT"             
[129] "miscF"                "MiSPU"                "MixedDataImpute"      "mixedMem"             "mixpack"              "Morpho"               "moveHMM"              "mp"                  
[137] "Mposterior"           "MRS"                  "msgl"                 "MVB"                  "mvcluster"            "mvnfast"              "netcoh"               "netdiffuseR"         
[145] "ngspatial"            "NNLM"                 "NPflow"               "oem"                  "onlinePCA"            "OpenImageR"           "PACVB"                "PanelCount"          
[153] "pcalg"                "PedCNV"               "PenCoxFrail"          "perccal"              "phylocurve"           "phylosignal"          "planar"               "polyfreqs"           
[161] "PoweR"                "PPtreeViz"            "prospectr"            "prototest"            "psd"                  "psgp"                 "PWD"                  "quadrupen"           
[169] "quanteda"             "rags2ridges"          "ragt2ridges"          "Rborist"              "RcppDE"               "RcppMLPACK"           "rcss"                 "RealVAMS"            
[177] "redist"               "regsem"               "repolr"               "resemble"             "revealedPrefs"        "Rfast"                "rflann"               "rgam"                
[185] "rmgarch"              "robustgam"            "robustHD"             "robustreg"            "roll"                 "rotations"            "Rphylopars"           "rstpm2"              
[193] "rugarch"              "Rvcg"                 "saeRobust"            "SAMM"                 "sbfc"                 "sbmSDP"               "SBSA"                 "SelvarMix"           
[201] "seqHMM"               "sgd"                  "sglOptim"             "sirt"                 "slfm"                 "smoof"                "snipEM"               "sourceR"             
[209] "SparseFactorAnalysis" "sparsereg"            "SpatialEpi"           "SpatialTools"         "SpatMCA"              "SpatPCA"              "spBayesSurv"          "spduration"          
[217] "starma"               "stm"                  "stochvol"             "stpm"                 "strum"                "survAccuracyMeasures" "surveybootstrap"      "SVMMatch"            
[225] "synlik"               "TAM"                  "TauStar"              "TED"                  "tensorBSS"            "textmineR"            "timma"                "treeclim"            
[233] "tsBSS"                "unmarked"             "VarSelLCM"            "wCorr"                "zic"                 

RESULT for AbsFilterGSEA_1.2.1.tar.gz : failure (1 of 237, 0 good, 1 bad) -- Now 14:16:05 This 3.6 sec, Avg 3.6 sec, exp. finish in 14.3 min at 14:30:23 on 22-Jul-2016
RESULT for HSAR_0.4.0.tar.gz : success (95 of 237, 93 good, 2 bad) -- Now 15:20:22 This 55.9 sec, Avg 40.6 sec, exp. finish in 96.2 min at 16:56:33 on 22-Jul-2016

RESULT for hsphase_2.0.1.tar.gz : success (96 of 237, 94 good, 2 bad) -- Now 15:20:50 This 27.5 sec, Avg 40.5 sec, exp. finish in 95.2 min at 16:56:01 on 22-Jul-2016

RESULT for hypervolume_1.4.1.tar.gz : success (97 of 237, 95 good, 2 bad) -- Now 15:21:20 This 30.3 sec, Avg 40.4 sec, exp. finish in 94.3 min at 16:55:36 on 22-Jul-2016

RESULT for iBATCGH_1.3.tar.gz : success (98 of 237, 96 good, 2 bad) -- Now 15:22:31 This 71.2 sec, Avg 40.7 sec, exp. finish in 94.3 min at 16:56:50 on 22-Jul-2016

RESULT for icamix_1.0.4.tar.gz : success (99 of 237, 97 good, 2 bad) -- Now 15:22:51 This 19.7 sec, Avg 40.5 sec, exp. finish in 93.2 min at 16:56:00 on 22-Jul-2016

RESULT for iccbeta_1.0.tar.gz : success (100 of 237, 98 good, 2 bad) -- Now 15:23:23 This 32.6 sec, Avg 40.4 sec, exp. finish in 92.3 min at 16:55:41 on 22-Jul-2016

RESULT for iLaplace_1.0.0.tar.gz : success (101 of 237, 99 good, 2 bad) -- Now 15:23:44 This 20.5 sec, Avg 40.2 sec, exp. finish in 91.2 min at 16:54:55 on 22-Jul-2016

RESULT for immer_0.5-0.tar.gz : success (102 of 237, 100 good, 2 bad) -- Now 15:24:36 This 52 sec, Avg 40.3 sec, exp. finish in 90.8 min at 16:55:22 on 22-Jul-2016

RESULT for JAGUAR_3.0.0.tar.gz : success (103 of 237, 101 good, 2 bad) -- Now 15:25:17 This 41.1 sec, Avg 40.3 sec, exp. finish in 90.1 min at 16:55:24 on 22-Jul-2016

RESULT for jmcm_0.1.4.0.tar.gz : success (104 of 237, 102 good, 2 bad) -- Now 15:25:48 This 30.9 sec, Avg 40.3 sec, exp. finish in 89.2 min at 16:55:02 on 22-Jul-2016

RESULT for jmotif_1.0.2.900.tar.gz : success (105 of 237, 103 good, 2 bad) -- Now 15:26:45 This 57.5 sec, Avg 40.4 sec, exp. finish in 88.9 min at 16:55:41 on 22-Jul-2016

RESULT for kdecopula_0.6.0.tar.gz : success (106 of 237, 104 good, 2 bad) -- Now 15:27:19 This 33.2 sec, Avg 40.4 sec, exp. finish in 88.1 min at 16:55:25 on 22-Jul-2016

RESULT for KernelKnn_1.0.1.tar.gz : success (107 of 237, 105 good, 2 bad) -- Now 15:28:04 This 45.7 sec, Avg 40.4 sec, exp. finish in 87.5 min at 16:55:37 on 22-Jul-2016

RESULT for Langevin_1.1.1.tar.gz : success (108 of 237, 106 good, 2 bad) -- Now 15:28:27 This 22.2 sec, Avg 40.2 sec, exp. finish in 86.5 min at 16:54:57 on 22-Jul-2016

RESULT for lpme_1.0.1.tar.gz : success (109 of 237, 107 good, 2 bad) -- Now 15:28:48 This 21.7 sec, Avg 40.1 sec, exp. finish in 85.5 min at 16:54:16 on 22-Jul-2016

RESULT for lsgl_1.2.0.tar.gz : success (110 of 237, 108 good, 2 bad) -- Now 15:29:39 This 51.1 sec, Avg 40.2 sec, exp. finish in 85 min at 16:54:40 on 22-Jul-2016

RESULT for Luminescence_0.6.1.tar.gz : success (111 of 237, 109 good, 2 bad) -- Now 15:31:01 This 81.7 sec, Avg 40.5 sec, exp. finish in 85.1 min at 16:56:09 on 22-Jul-2016

RESULT for markophylo_1.0.4.tar.gz : success (112 of 237, 110 good, 2 bad) -- Now 15:31:38 This 37.3 sec, Avg 40.5 sec, exp. finish in 84.4 min at 16:56:02 on 22-Jul-2016

RESULT for markovchain_0.5.tar.gz : success (113 of 237, 111 good, 2 bad) -- Now 15:32:39 This 60.3 sec, Avg 40.7 sec, exp. finish in 84.1 min at 16:56:43 on 22-Jul-2016

RESULT for MAT_2.2.tar.gz : success (114 of 237, 112 good, 2 bad) -- Now 15:33:02 This 23.9 sec, Avg 40.5 sec, exp. finish in 83.1 min at 16:56:09 on 22-Jul-2016

RESULT for matchingMarkets_0.2-1.tar.gz : success (115 of 237, 113 good, 2 bad) -- Now 15:33:32 This 29.1 sec, Avg 40.4 sec, exp. finish in 82.2 min at 16:55:45 on 22-Jul-2016

RESULT for matchingR_1.2.1.tar.gz : success (116 of 237, 114 good, 2 bad) -- Now 15:33:55 This 23.9 sec, Avg 40.3 sec, exp. finish in 81.3 min at 16:55:11 on 22-Jul-2016

RESULT for MatrixCorrelation_0.8.1.tar.gz : success (117 of 237, 115 good, 2 bad) -- Now 15:34:31 This 35.9 sec, Avg 40.3 sec, exp. finish in 80.5 min at 16:55:02 on 22-Jul-2016

RESULT for mcemGLM_1.1.tar.gz : success (118 of 237, 116 good, 2 bad) -- Now 15:36:24 This 112.8 sec, Avg 40.9 sec, exp. finish in 81.1 min at 16:57:28 on 22-Jul-2016

RESULT for mcIRT_0.41.tar.gz : success (119 of 237, 117 good, 2 bad) -- Now 15:37:04 This 39.8 sec, Avg 40.9 sec, exp. finish in 80.4 min at 16:57:26 on 22-Jul-2016

RESULT for mcmcse_1.2-1.tar.gz : success (120 of 237, 118 good, 2 bad) -- Now 15:37:27 This 23.2 sec, Avg 40.7 sec, exp. finish in 79.4 min at 16:56:51 on 22-Jul-2016

RESULT for MESS_0.4-3.tar.gz : success (121 of 237, 119 good, 2 bad) -- Now 15:38:04 This 36.7 sec, Avg 40.7 sec, exp. finish in 78.7 min at 16:56:43 on 22-Jul-2016

RESULT for metafolio_0.1.0.tar.gz : success (122 of 237, 120 good, 2 bad) -- Now 15:38:24 This 20 sec, Avg 40.5 sec, exp. finish in 77.7 min at 16:56:03 on 22-Jul-2016

RESULT for mets_1.1.1.tar.gz : success (123 of 237, 121 good, 2 bad) -- Now 15:39:54 This 90.2 sec, Avg 40.9 sec, exp. finish in 77.7 min at 16:57:39 on 22-Jul-2016

RESULT for mev_1.6.1.tar.gz : success (124 of 237, 122 good, 2 bad) -- Now 15:40:40 This 45.7 sec, Avg 41 sec, exp. finish in 77.1 min at 16:57:48 on 22-Jul-2016

RESULT for milr_0.1.0.tar.gz : success (125 of 237, 123 good, 2 bad) -- Now 15:40:59 This 19.2 sec, Avg 40.8 sec, exp. finish in 76.1 min at 16:57:07 on 22-Jul-2016

RESULT for minimaxdesign_0.1.0.1.tar.gz : success (126 of 237, 124 good, 2 bad) -- Now 15:41:22 This 23 sec, Avg 40.6 sec, exp. finish in 75.2 min at 16:56:33 on 22-Jul-2016

RESULT for mirt_1.18.tar.gz : success (127 of 237, 125 good, 2 bad) -- Now 15:42:40 This 77.6 sec, Avg 40.9 sec, exp. finish in 75 min at 16:57:42 on 22-Jul-2016

RESULT for mirtCAT_0.9.tar.gz : success (128 of 237, 126 good, 2 bad) -- Now 15:43:19 This 39.8 sec, Avg 40.9 sec, exp. finish in 74.3 min at 16:57:40 on 22-Jul-2016

RESULT for miscF_0.1-3.tar.gz : success (129 of 237, 127 good, 2 bad) -- Now 15:43:57 This 37.8 sec, Avg 40.9 sec, exp. finish in 73.6 min at 16:57:34 on 22-Jul-2016

RESULT for MiSPU_1.0.tar.gz : success (130 of 237, 128 good, 2 bad) -- Now 15:44:41 This 43.4 sec, Avg 40.9 sec, exp. finish in 73 min at 16:57:39 on 22-Jul-2016

RESULT for MixedDataImpute_0.1.tar.gz : success (131 of 237, 129 good, 2 bad) -- Now 15:45:14 This 33.7 sec, Avg 40.9 sec, exp. finish in 72.2 min at 16:57:26 on 22-Jul-2016

RESULT for mixedMem_1.1.0.tar.gz : success (132 of 237, 130 good, 2 bad) -- Now 15:46:00 This 46.1 sec, Avg 40.9 sec, exp. finish in 71.6 min at 16:57:35 on 22-Jul-2016

RESULT for mixpack_0.3.4.tar.gz : success (133 of 237, 131 good, 2 bad) -- Now 15:46:19 This 18.3 sec, Avg 40.7 sec, exp. finish in 70.6 min at 16:56:55 on 22-Jul-2016

RESULT for Morpho_2.3.1.1.tar.gz : success (134 of 237, 132 good, 2 bad) -- Now 15:47:47 This 88.9 sec, Avg 41.1 sec, exp. finish in 70.5 min at 16:58:20 on 22-Jul-2016

RESULT for moveHMM_1.2.tar.gz : success (135 of 237, 133 good, 2 bad) -- Now 15:48:21 This 33.5 sec, Avg 41 sec, exp. finish in 69.8 min at 16:58:07 on 22-Jul-2016

RESULT for mp_0.3.1.tar.gz : success (136 of 237, 134 good, 2 bad) -- Now 15:48:40 This 19.5 sec, Avg 40.9 sec, exp. finish in 68.8 min at 16:57:29 on 22-Jul-2016

RESULT for Mposterior_0.1.2.tar.gz : success (137 of 237, 135 good, 2 bad) -- Now 15:49:12 This 31.1 sec, Avg 40.8 sec, exp. finish in 68 min at 16:57:12 on 22-Jul-2016

RESULT for MRS_1.2.1.tar.gz : success (138 of 237, 136 good, 2 bad) -- Now 15:49:36 This 24.5 sec, Avg 40.7 sec, exp. finish in 67.1 min at 16:56:44 on 22-Jul-2016

RESULT for msgl_2.2.0.tar.gz : success (139 of 237, 137 good, 2 bad) -- Now 15:50:37 This 60.5 sec, Avg 40.8 sec, exp. finish in 66.7 min at 16:57:18 on 22-Jul-2016

RESULT for MVB_1.1.tar.gz : success (140 of 237, 138 good, 2 bad) -- Now 15:51:12 This 35.8 sec, Avg 40.8 sec, exp. finish in 66 min at 16:57:09 on 22-Jul-2016

RESULT for mvcluster_1.0.tar.gz : success (141 of 237, 139 good, 2 bad) -- Now 15:51:44 This 31.7 sec, Avg 40.7 sec, exp. finish in 65.2 min at 16:56:54 on 22-Jul-2016

RESULT for mvnfast_0.1.4.tar.gz : success (142 of 237, 140 good, 2 bad) -- Now 15:52:03 This 19.1 sec, Avg 40.6 sec, exp. finish in 64.2 min at 16:56:18 on 22-Jul-2016

RESULT for netcoh_0.2.tar.gz : success (143 of 237, 141 good, 2 bad) -- Now 15:52:36 This 32.9 sec, Avg 40.5 sec, exp. finish in 63.5 min at 16:56:05 on 22-Jul-2016

RESULT for netdiffuseR_1.16.7.tar.gz : success (144 of 237, 142 good, 2 bad) -- Now 15:54:11 This 94.5 sec, Avg 40.9 sec, exp. finish in 63.4 min at 16:57:34 on 22-Jul-2016

RESULT for ngspatial_1.0-5.tar.gz : success (145 of 237, 143 good, 2 bad) -- Now 15:54:38 This 27 sec, Avg 40.8 sec, exp. finish in 62.6 min at 16:57:11 on 22-Jul-2016

RESULT for NNLM_0.4.1.tar.gz : success (146 of 237, 144 good, 2 bad) -- Now 15:55:03 This 25.2 sec, Avg 40.7 sec, exp. finish in 61.7 min at 16:56:46 on 22-Jul-2016

RESULT for NPflow_0.10.1.tar.gz : success (147 of 237, 145 good, 2 bad) -- Now 15:56:12 This 69.3 sec, Avg 40.9 sec, exp. finish in 61.3 min at 16:57:32 on 22-Jul-2016

RESULT for oem_1.02.1.tar.gz : success (148 of 237, 146 good, 2 bad) -- Now 15:56:31 This 18.7 sec, Avg 40.7 sec, exp. finish in 60.4 min at 16:56:57 on 22-Jul-2016

RESULT for onlinePCA_1.3.tar.gz : success (149 of 237, 147 good, 2 bad) -- Now 15:57:07 This 36.8 sec, Avg 40.7 sec, exp. finish in 59.7 min at 16:56:50 on 22-Jul-2016

RESULT for OpenImageR_1.0.2.tar.gz : success (150 of 237, 148 good, 2 bad) -- Now 15:57:39 This 32 sec, Avg 40.7 sec, exp. finish in 59 min at 16:56:37 on 22-Jul-2016

RESULT for PACVB_1.1.1.tar.gz : success (151 of 237, 149 good, 2 bad) -- Now 15:57:58 This 19 sec, Avg 40.5 sec, exp. finish in 58.1 min at 16:56:03 on 22-Jul-2016

RESULT for PanelCount_1.0.9.tar.gz : success (152 of 237, 150 good, 2 bad) -- Now 15:58:16 This 17.1 sec, Avg 40.4 sec, exp. finish in 57.2 min at 16:55:26 on 22-Jul-2016

RESULT for pcalg_2.2-4.tar.gz : success (153 of 237, 151 good, 2 bad) -- Now 16:00:30 This 134.9 sec, Avg 41 sec, exp. finish in 57.4 min at 16:57:52 on 22-Jul-2016

RESULT for PedCNV_0.1.tar.gz : success (154 of 237, 152 good, 2 bad) -- Now 16:00:57 This 26.5 sec, Avg 40.9 sec, exp. finish in 56.6 min at 16:57:30 on 22-Jul-2016

RESULT for PenCoxFrail_1.0.1.tar.gz : success (155 of 237, 153 good, 2 bad) -- Now 16:01:28 This 31.4 sec, Avg 40.8 sec, exp. finish in 55.8 min at 16:57:16 on 22-Jul-2016

RESULT for perccal_1.0.tar.gz : success (156 of 237, 154 good, 2 bad) -- Now 16:01:46 This 17.5 sec, Avg 40.7 sec, exp. finish in 54.9 min at 16:56:40 on 22-Jul-2016

RESULT for phylocurve_2.0.6.tar.gz : failure (157 of 237, 154 good, 3 bad) -- Now 16:01:49 This 3.6 sec, Avg 40.4 sec, exp. finish in 53.9 min at 16:55:44 on 22-Jul-2016

RESULT for phylosignal_1.1.tar.gz : success (158 of 237, 155 good, 3 bad) -- Now 16:02:50 This 61.1 sec, Avg 40.6 sec, exp. finish in 53.4 min at 16:56:15 on 22-Jul-2016

RESULT for planar_1.6.tar.gz : success (159 of 237, 156 good, 3 bad) -- Now 16:03:23 This 32.9 sec, Avg 40.5 sec, exp. finish in 52.7 min at 16:56:04 on 22-Jul-2016

RESULT for polyfreqs_1.0.0.tar.gz : success (160 of 237, 157 good, 3 bad) -- Now 16:03:42 This 18.3 sec, Avg 40.4 sec, exp. finish in 51.8 min at 16:55:31 on 22-Jul-2016

RESULT for PoweR_1.0.5.tar.gz : success (161 of 237, 158 good, 3 bad) -- Now 16:04:13 This 31 sec, Avg 40.3 sec, exp. finish in 51.1 min at 16:55:17 on 22-Jul-2016

RESULT for PPtreeViz_1.3.0.tar.gz : success (162 of 237, 159 good, 3 bad) -- Now 16:04:33 This 20.2 sec, Avg 40.2 sec, exp. finish in 50.2 min at 16:54:48 on 22-Jul-2016

RESULT for prospectr_0.1.3.tar.gz : success (163 of 237, 160 good, 3 bad) -- Now 16:05:04 This 31.2 sec, Avg 40.1 sec, exp. finish in 49.5 min at 16:54:35 on 22-Jul-2016

RESULT for prototest_1.1.tar.gz : success (164 of 237, 161 good, 3 bad) -- Now 16:05:50 This 46.2 sec, Avg 40.2 sec, exp. finish in 48.9 min at 16:54:43 on 22-Jul-2016

RESULT for psd_1.0-1.tar.gz : success (165 of 237, 162 good, 3 bad) -- Now 16:06:16 This 25.5 sec, Avg 40.1 sec, exp. finish in 48.1 min at 16:54:22 on 22-Jul-2016

RESULT for psgp_0.3-6.tar.gz : success (166 of 237, 163 good, 3 bad) -- Now 16:07:31 This 75.3 sec, Avg 40.3 sec, exp. finish in 47.7 min at 16:55:12 on 22-Jul-2016

RESULT for PWD_1.0.tar.gz : success (167 of 237, 164 good, 3 bad) -- Now 16:07:46 This 14.9 sec, Avg 40.1 sec, exp. finish in 46.8 min at 16:54:36 on 22-Jul-2016

RESULT for quadrupen_0.2-4.tar.gz : success (168 of 237, 165 good, 3 bad) -- Now 16:08:36 This 50.6 sec, Avg 40.2 sec, exp. finish in 46.2 min at 16:54:51 on 22-Jul-2016

RESULT for quanteda_0.9.7-17.tar.gz : success (169 of 237, 166 good, 3 bad) -- Now 16:09:56 This 79.2 sec, Avg 40.4 sec, exp. finish in 45.8 min at 16:55:46 on 22-Jul-2016

RESULT for rags2ridges_2.0.tar.gz : success (170 of 237, 167 good, 3 bad) -- Now 16:10:54 This 58.8 sec, Avg 40.5 sec, exp. finish in 45.3 min at 16:56:11 on 22-Jul-2016

RESULT for ragt2ridges_0.2.0.tar.gz : success (171 of 237, 168 good, 3 bad) -- Now 16:11:48 This 53.7 sec, Avg 40.6 sec, exp. finish in 44.7 min at 16:56:29 on 22-Jul-2016

RESULT for Rborist_0.1-1.tar.gz : success (172 of 237, 169 good, 3 bad) -- Now 16:12:12 This 24.1 sec, Avg 40.5 sec, exp. finish in 43.9 min at 16:56:07 on 22-Jul-2016

RESULT for RcppDE_0.1.5.tar.gz : success (173 of 237, 170 good, 3 bad) -- Now 16:12:35 This 22.9 sec, Avg 40.4 sec, exp. finish in 43.1 min at 16:55:43 on 22-Jul-2016

RESULT for RcppMLPACK_1.0.10-4.tar.gz : success (174 of 237, 171 good, 3 bad) -- Now 16:14:12 This 96.9 sec, Avg 40.8 sec, exp. finish in 42.8 min at 16:56:59 on 22-Jul-2016

RESULT for rcss_1.1.tar.gz : success (175 of 237, 172 good, 3 bad) -- Now 16:15:07 This 54.7 sec, Avg 40.8 sec, exp. finish in 42.2 min at 16:57:18 on 22-Jul-2016

RESULT for RealVAMS_0.3-2.tar.gz : success (176 of 237, 173 good, 3 bad) -- Now 16:15:48 This 40.8 sec, Avg 40.8 sec, exp. finish in 41.5 min at 16:57:18 on 22-Jul-2016

RESULT for redist_1.2.tar.gz : success (177 of 237, 174 good, 3 bad) -- Now 16:16:33 This 46 sec, Avg 40.9 sec, exp. finish in 40.9 min at 16:57:25 on 22-Jul-2016

RESULT for regsem_0.1.3.tar.gz : success (178 of 237, 175 good, 3 bad) -- Now 16:17:01 This 27.3 sec, Avg 40.8 sec, exp. finish in 40.1 min at 16:57:07 on 22-Jul-2016

RESULT for repolr_3.4.tar.gz : success (179 of 237, 176 good, 3 bad) -- Now 16:17:40 This 39.2 sec, Avg 40.8 sec, exp. finish in 39.4 min at 16:57:05 on 22-Jul-2016

RESULT for resemble_1.2.2.tar.gz : success (180 of 237, 177 good, 3 bad) -- Now 16:18:13 This 32.5 sec, Avg 40.7 sec, exp. finish in 38.7 min at 16:56:54 on 22-Jul-2016

RESULT for revealedPrefs_0.2.tar.gz : success (181 of 237, 178 good, 3 bad) -- Now 16:18:37 This 24.4 sec, Avg 40.6 sec, exp. finish in 37.9 min at 16:56:33 on 22-Jul-2016

RESULT for Rfast_1.0.tar.gz : success (182 of 237, 179 good, 3 bad) -- Now 16:19:00 This 23.1 sec, Avg 40.5 sec, exp. finish in 37.2 min at 16:56:10 on 22-Jul-2016

RESULT for rflann_1.0.tar.gz : success (183 of 237, 180 good, 3 bad) -- Now 16:19:19 This 19 sec, Avg 40.4 sec, exp. finish in 36.4 min at 16:55:42 on 22-Jul-2016

RESULT for rgam_0.6.3.tar.gz : success (184 of 237, 181 good, 3 bad) -- Now 16:19:45 This 26.5 sec, Avg 40.3 sec, exp. finish in 35.6 min at 16:55:24 on 22-Jul-2016

RESULT for rmgarch_1.3-0.tar.gz : success (185 of 237, 182 good, 3 bad) -- Now 16:21:17 This 92 sec, Avg 40.6 sec, exp. finish in 35.2 min at 16:56:30 on 22-Jul-2016

RESULT for robustgam_0.1.7.tar.gz : success (186 of 237, 183 good, 3 bad) -- Now 16:21:50 This 32.1 sec, Avg 40.6 sec, exp. finish in 34.5 min at 16:56:19 on 22-Jul-2016

RESULT for robustHD_0.5.1.tar.gz : success (187 of 237, 184 good, 3 bad) -- Now 16:22:38 This 48.8 sec, Avg 40.6 sec, exp. finish in 33.9 min at 16:56:30 on 22-Jul-2016

RESULT for robustreg_0.1-9.tar.gz : success (188 of 237, 185 good, 3 bad) -- Now 16:23:09 This 30.5 sec, Avg 40.6 sec, exp. finish in 33.1 min at 16:56:17 on 22-Jul-2016

RESULT for roll_1.0.4.tar.gz : success (189 of 237, 186 good, 3 bad) -- Now 16:23:29 This 20.6 sec, Avg 40.5 sec, exp. finish in 32.4 min at 16:55:52 on 22-Jul-2016

RESULT for rotations_1.5.tar.gz : success (190 of 237, 187 good, 3 bad) -- Now 16:24:10 This 40.1 sec, Avg 40.5 sec, exp. finish in 31.7 min at 16:55:51 on 22-Jul-2016

RESULT for Rphylopars_0.2.9.tar.gz : success (191 of 237, 188 good, 3 bad) -- Now 16:25:02 This 52.9 sec, Avg 40.5 sec, exp. finish in 31.1 min at 16:56:07 on 22-Jul-2016

RESULT for rstpm2_1.3.2.tar.gz : success (192 of 237, 189 good, 3 bad) -- Now 16:26:02 This 60 sec, Avg 40.6 sec, exp. finish in 30.5 min at 16:56:31 on 22-Jul-2016

RESULT for rugarch_1.3-6.tar.gz : success (193 of 237, 190 good, 3 bad) -- Now 16:27:49 This 106.5 sec, Avg 41 sec, exp. finish in 30 min at 16:57:52 on 22-Jul-2016

RESULT for Rvcg_0.14.tar.gz : success (194 of 237, 191 good, 3 bad) -- Now 16:29:53 This 124.5 sec, Avg 41.4 sec, exp. finish in 29.7 min at 16:59:34 on 22-Jul-2016

RESULT for saeRobust_0.1.0.tar.gz : success (195 of 237, 192 good, 3 bad) -- Now 16:31:14 This 80.1 sec, Avg 41.6 sec, exp. finish in 29.1 min at 17:00:21 on 22-Jul-2016

RESULT for SAMM_0.0.1.tar.gz : success (196 of 237, 193 good, 3 bad) -- Now 16:31:59 This 45.9 sec, Avg 41.6 sec, exp. finish in 28.4 min at 17:00:26 on 22-Jul-2016

RESULT for sbfc_1.0.1.tar.gz : success (197 of 237, 194 good, 3 bad) -- Now 16:32:44 This 44.7 sec, Avg 41.6 sec, exp. finish in 27.8 min at 17:00:30 on 22-Jul-2016

RESULT for sbmSDP_0.2.tar.gz : success (198 of 237, 195 good, 3 bad) -- Now 16:33:03 This 18.6 sec, Avg 41.5 sec, exp. finish in 27 min at 17:00:02 on 22-Jul-2016

RESULT for SBSA_0.2.3.tar.gz : success (199 of 237, 196 good, 3 bad) -- Now 16:33:32 This 29.3 sec, Avg 41.5 sec, exp. finish in 26.3 min at 16:59:48 on 22-Jul-2016

RESULT for SelvarMix_1.1.tar.gz : success (200 of 237, 197 good, 3 bad) -- Now 16:34:05 This 33 sec, Avg 41.4 sec, exp. finish in 25.5 min at 16:59:38 on 22-Jul-2016

RESULT for seqHMM_1.0.5.tar.gz : success (201 of 237, 198 good, 3 bad) -- Now 16:35:55 This 109.5 sec, Avg 41.8 sec, exp. finish in 25.1 min at 17:00:58 on 22-Jul-2016

RESULT for sgd_1.1.tar.gz : success (202 of 237, 199 good, 3 bad) -- Now 16:36:20 This 25.3 sec, Avg 41.7 sec, exp. finish in 24.3 min at 17:00:39 on 22-Jul-2016

RESULT for sglOptim_1.2.0.tar.gz : success (203 of 237, 200 good, 3 bad) -- Now 16:37:29 This 68.7 sec, Avg 41.8 sec, exp. finish in 23.7 min at 17:01:10 on 22-Jul-2016

RESULT for sirt_1.12-2.tar.gz : success (204 of 237, 201 good, 3 bad) -- Now 16:39:56 This 147.4 sec, Avg 42.3 sec, exp. finish in 23.3 min at 17:03:13 on 22-Jul-2016

RESULT for slfm_0.2.2.tar.gz : success (205 of 237, 202 good, 3 bad) -- Now 16:40:16 This 20 sec, Avg 42.2 sec, exp. finish in 22.5 min at 17:02:47 on 22-Jul-2016

RESULT for smoof_1.3.tar.gz : failure (206 of 237, 202 good, 4 bad) -- Now 16:40:20 This 3.7 sec, Avg 42 sec, exp. finish in 21.7 min at 17:02:03 on 22-Jul-2016

RESULT for snipEM_1.0.tar.gz : success (207 of 237, 203 good, 4 bad) -- Now 16:40:39 This 19.1 sec, Avg 41.9 sec, exp. finish in 21 min at 17:01:36 on 22-Jul-2016

RESULT for sourceR_0.2.0.tar.gz : success (208 of 237, 204 good, 4 bad) -- Now 16:41:22 This 43.3 sec, Avg 41.9 sec, exp. finish in 20.3 min at 17:01:38 on 22-Jul-2016

