Started at  2016-03-11 16:08:49.568533 
Rcpp  version is  0.12.3.2 
RcppArmadillo  version is  0.6.600.2.1 
R version 3.2.3 (2015-12-10) -- "Wooden Christmas-Tree" 
  [1] "AbsFilterGSEA"        "ACEt"                 "AdaptiveSparsity"     "AHR"                  "Amelia"               "arrApply"            
  [7] "ASPBay"               "aSPU"                 "BaBooN"               "BacArena"             "BayesComm"            "bayesm"              
 [13] "bayou"                "bcp"                  "bfa"                  "BIFIEsurvey"          "biglasso"             "BIPOD"               
 [19] "blockmodels"          "blockseg"             "BTLLasso"             "bvarsv"               "ccaPP"                "cccp"                
 [25] "cda"                  "CDM"                  "CFC"                  "ChannelAttribution"   "cIRT"                 "cladoRcpp"           
 [31] "coala"                "coneproj"             "copCAR"               "cord"                 "CoxPlus"              "crawl"               
 [37] "Crossover"            "DepthProc"            "dfcomb"               "dfmta"                "DiffusionRgqd"        "DiffusionRjgqd"      
 [43] "dina"                 "drgee"                "ECctmc"               "EloChoice"            "emIRT"                "EPGLM"               
 [49] "EstHer"               "FastBandChol"         "fastM"                "FBFsearch"            "fdaMixed"             "FDRreg"              
 [55] "FIACH"                "fICA"                 "FisHiCal"             "flip"                 "forecast"             "fourPNO"             
 [61] "FRESA.CAD"            "gaselect"             "GeneticTools"         "geoCount"             "GERGM"                "GiRaF"               
 [67] "gjam"                 "glamlasso"            "glcm"                 "glmgraph"             "GMCM"                 "gmum.r"              
 [73] "gmwm"                 "gMWT"                 "GPvam"                "gRain"                "graphicalVAR"         "gRbase"              
 [79] "gRim"                 "growcurves"           "growfunctions"        "GSE"                  "hawkes"               "HLMdiag"             
 [85] "HSAR"                 "hsphase"              "hypervolume"          "iBATCGH"              "icamix"               "iccbeta"             
 [91] "iLaplace"             "immer"                "JAGUAR"               "jmcm"                 "jmotif"               "kdecopula"           
 [97] "Langevin"             "lpme"                 "lsgl"                 "Luminescence"         "markophylo"           "markovchain"         
[103] "MAT"                  "matchingMarkets"      "matchingR"            "mcemGLM"              "mcIRT"                "mcmcse"              
[109] "metafolio"            "mets"                 "mev"                  "mirt"                 "mirtCAT"              "miscF"               
[115] "MixedDataImpute"      "mixedMem"             "mixpack"              "Morpho"               "moveHMM"              "mp"                  
[121] "Mposterior"           "MRIaggr"              "MRS"                  "msgl"                 "MVB"                  "mvnfast"             
[127] "netcoh"               "netdiffuseR"          "ngspatial"            "NNLM"                 "oem"                  "onlinePCA"           
[133] "PACVB"                "PanelCount"           "pcalg"                "PedCNV"               "phylosignal"          "planar"              
[139] "polyfreqs"            "PoweR"                "PPtreeViz"            "prospectr"            "prototest"            "psd"                 
[145] "psgp"                 "PWD"                  "quadrupen"            "quanteda"             "rags2ridges"          "Rborist"             
[151] "rcppbugs"             "RcppDE"               "RcppMLPACK"           "RealVAMS"             "redist"               "repolr"              
[157] "resemble"             "revealedPrefs"        "rgam"                 "rmgarch"              "robustgam"            "robustHD"            
[163] "robustreg"            "rotations"            "Rphylopars"           "rstpm2"               "rugarch"              "sbmSDP"              
[169] "SBSA"                 "SelvarMix"            "seqHMM"               "sgd"                  "sglOptim"             "sirt"                
[175] "slfm"                 "smoof"                "snipEM"               "SparseFactorAnalysis" "sparsereg"            "SpatialEpi"          
[181] "SpatialTools"         "SpatPCA"              "spBayesSurv"          "spduration"           "starma"               "stm"                 
[187] "stochvol"             "stpm"                 "strum"                "survAccuracyMeasures" "SVMMatch"             "synlik"              
[193] "TAM"                  "TauStar"              "TED"                  "textmineR"            "timma"                "treeclim"            
[199] "tsBSS"                "unmarked"             "VarSelLCM"            "zic"                 

RESULT for AbsFilterGSEA_0.1.tar.gz : success (1 of 202, 1 good, 0 bad) -- Now 16:09:26 This 30.8 sec, Avg 30.8 sec, exp. finish in 103.2 min at 17:52:38 on 11-Mar-2016
RESULT for Luminescence_0.5.1.tar.gz : success (100 of 202, 96 good, 4 bad) -- Now 18:09:35 This 145.9 sec, Avg 72.4 sec, exp. finish in 123.1 min at 20:12:40 on 11-Mar-2016

RESULT for markophylo_1.0.4.tar.gz : success (101 of 202, 97 good, 4 bad) -- Now 18:10:43 This 67.6 sec, Avg 72.4 sec, exp. finish in 121.8 min at 20:12:31 on 11-Mar-2016

RESULT for markovchain_0.4.3.1.tar.gz : success (102 of 202, 98 good, 4 bad) -- Now 18:12:36 This 113.3 sec, Avg 72.8 sec, exp. finish in 121.3 min at 20:13:52 on 11-Mar-2016

RESULT for MAT_2.2.tar.gz : success (103 of 202, 99 good, 4 bad) -- Now 18:13:20 This 44.2 sec, Avg 72.5 sec, exp. finish in 119.6 min at 20:12:56 on 11-Mar-2016

RESULT for matchingMarkets_0.2-1.tar.gz : success (104 of 202, 100 good, 4 bad) -- Now 18:14:15 This 54.5 sec, Avg 72.3 sec, exp. finish in 118.1 min at 20:12:21 on 11-Mar-2016

RESULT for matchingR_1.2.1.tar.gz : success (105 of 202, 101 good, 4 bad) -- Now 18:14:54 This 39.3 sec, Avg 72 sec, exp. finish in 116.4 min at 20:11:17 on 11-Mar-2016

RESULT for mcemGLM_1.1.tar.gz : success (106 of 202, 102 good, 4 bad) -- Now 18:19:11 This 256.8 sec, Avg 73.7 sec, exp. finish in 118 min at 20:17:10 on 11-Mar-2016

RESULT for mcIRT_0.41.tar.gz : success (107 of 202, 103 good, 4 bad) -- Now 18:20:13 This 61.6 sec, Avg 73.6 sec, exp. finish in 116.6 min at 20:16:47 on 11-Mar-2016

RESULT for mcmcse_1.1-2.tar.gz : success (108 of 202, 104 good, 4 bad) -- Now 18:20:50 This 37.2 sec, Avg 73.3 sec, exp. finish in 114.8 min at 20:15:39 on 11-Mar-2016

RESULT for metafolio_0.1.0.tar.gz : success (109 of 202, 105 good, 4 bad) -- Now 18:21:20 This 29.9 sec, Avg 72.9 sec, exp. finish in 113 min at 20:14:18 on 11-Mar-2016

RESULT for mets_1.1.1.tar.gz : success (110 of 202, 106 good, 4 bad) -- Now 18:23:42 This 141.8 sec, Avg 73.5 sec, exp. finish in 112.7 min at 20:16:25 on 11-Mar-2016

RESULT for mev_1.6.tar.gz : success (111 of 202, 107 good, 4 bad) -- Now 18:24:50 This 68 sec, Avg 73.5 sec, exp. finish in 111.4 min at 20:16:15 on 11-Mar-2016

RESULT for mirt_1.16.tar.gz : success (112 of 202, 108 good, 4 bad) -- Now 18:26:59 This 129.6 sec, Avg 74 sec, exp. finish in 110.9 min at 20:17:56 on 11-Mar-2016

RESULT for mirtCAT_0.8.tar.gz : success (113 of 202, 109 good, 4 bad) -- Now 18:28:00 This 60.7 sec, Avg 73.8 sec, exp. finish in 109.5 min at 20:17:32 on 11-Mar-2016

RESULT for miscF_0.1-2.tar.gz : success (114 of 202, 110 good, 4 bad) -- Now 18:28:57 This 57 sec, Avg 73.7 sec, exp. finish in 108.1 min at 20:17:02 on 11-Mar-2016

RESULT for MixedDataImpute_0.1.tar.gz : success (115 of 202, 111 good, 4 bad) -- Now 18:29:52 This 55.2 sec, Avg 73.5 sec, exp. finish in 106.6 min at 20:16:30 on 11-Mar-2016

RESULT for mixedMem_1.1.0.tar.gz : success (116 of 202, 112 good, 4 bad) -- Now 18:31:31 This 98.7 sec, Avg 73.8 sec, exp. finish in 105.7 min at 20:17:14 on 11-Mar-2016

RESULT for mixpack_0.3.4.tar.gz : success (117 of 202, 113 good, 4 bad) -- Now 18:31:59 This 28 sec, Avg 73.4 sec, exp. finish in 103.9 min at 20:15:55 on 11-Mar-2016

RESULT for Morpho_2.3.1.1.tar.gz : failure (118 of 202, 113 good, 5 bad) -- Now 18:34:30 This 151.4 sec, Avg 74 sec, exp. finish in 103.6 min at 20:18:08 on 11-Mar-2016

RESULT for moveHMM_1.1.tar.gz : success (119 of 202, 114 good, 5 bad) -- Now 18:35:19 This 48.9 sec, Avg 73.8 sec, exp. finish in 102.1 min at 20:17:26 on 11-Mar-2016

RESULT for mp_0.3.1.tar.gz : success (120 of 202, 115 good, 5 bad) -- Now 18:35:51 This 31.9 sec, Avg 73.5 sec, exp. finish in 100.4 min at 20:16:15 on 11-Mar-2016

RESULT for Mposterior_0.1.2.tar.gz : success (121 of 202, 116 good, 5 bad) -- Now 18:36:36 This 44.7 sec, Avg 73.2 sec, exp. finish in 98.9 min at 20:15:27 on 11-Mar-2016

RESULT for MRIaggr_1.1.5.tar.gz : success (122 of 202, 117 good, 5 bad) -- Now 18:39:38 This 182.4 sec, Avg 74.1 sec, exp. finish in 98.8 min at 20:18:28 on 11-Mar-2016

RESULT for MRS_1.1.tar.gz : success (123 of 202, 118 good, 5 bad) -- Now 18:40:18 This 39.4 sec, Avg 73.8 sec, exp. finish in 97.2 min at 20:17:31 on 11-Mar-2016

RESULT for msgl_2.2.0.tar.gz : failure (124 of 202, 118 good, 6 bad) -- Now 18:41:36 This 78.9 sec, Avg 73.9 sec, exp. finish in 96 min at 20:17:39 on 11-Mar-2016

RESULT for MVB_1.1.tar.gz : success (125 of 202, 119 good, 6 bad) -- Now 18:42:47 This 70.8 sec, Avg 73.9 sec, exp. finish in 94.8 min at 20:17:34 on 11-Mar-2016

RESULT for mvnfast_0.1.4.tar.gz : success (126 of 202, 120 good, 6 bad) -- Now 18:43:16 This 28.5 sec, Avg 73.5 sec, exp. finish in 93.1 min at 20:16:22 on 11-Mar-2016

RESULT for netcoh_0.1.tar.gz : success (127 of 202, 121 good, 6 bad) -- Now 18:44:06 This 50.5 sec, Avg 73.3 sec, exp. finish in 91.6 min at 20:15:45 on 11-Mar-2016

RESULT for netdiffuseR_1.16.2.tar.gz : success (128 of 202, 122 good, 6 bad) -- Now 18:46:24 This 137.9 sec, Avg 73.8 sec, exp. finish in 91 min at 20:17:27 on 11-Mar-2016

RESULT for ngspatial_1.0-5.tar.gz : success (129 of 202, 123 good, 6 bad) -- Now 18:47:09 This 45.2 sec, Avg 73.6 sec, exp. finish in 89.5 min at 20:16:42 on 11-Mar-2016

RESULT for NNLM_0.4.1.tar.gz : success (130 of 202, 124 good, 6 bad) -- Now 18:47:53 This 43.6 sec, Avg 73.4 sec, exp. finish in 88 min at 20:15:55 on 11-Mar-2016

RESULT for oem_1.02.1.tar.gz : success (131 of 202, 125 good, 6 bad) -- Now 18:48:18 This 25.4 sec, Avg 73 sec, exp. finish in 86.4 min at 20:14:42 on 11-Mar-2016

RESULT for onlinePCA_1.3.tar.gz : success (132 of 202, 126 good, 6 bad) -- Now 18:49:17 This 58.8 sec, Avg 72.9 sec, exp. finish in 85 min at 20:14:20 on 11-Mar-2016

RESULT for PACVB_1.1.tar.gz : success (133 of 202, 127 good, 6 bad) -- Now 18:49:45 This 28.1 sec, Avg 72.6 sec, exp. finish in 83.4 min at 20:13:12 on 11-Mar-2016

RESULT for PanelCount_1.0.9.tar.gz : success (134 of 202, 128 good, 6 bad) -- Now 18:50:11 This 25.7 sec, Avg 72.2 sec, exp. finish in 81.8 min at 20:12:01 on 11-Mar-2016

RESULT for pcalg_2.2-4.tar.gz : success (135 of 202, 129 good, 6 bad) -- Now 18:54:25 This 253.7 sec, Avg 73.6 sec, exp. finish in 82.1 min at 20:16:33 on 11-Mar-2016

RESULT for PedCNV_0.1.tar.gz : success (136 of 202, 130 good, 6 bad) -- Now 18:55:12 This 46.9 sec, Avg 73.4 sec, exp. finish in 80.7 min at 20:15:53 on 11-Mar-2016

RESULT for phylosignal_1.1.tar.gz : success (137 of 202, 131 good, 6 bad) -- Now 18:56:55 This 103.4 sec, Avg 73.6 sec, exp. finish in 79.7 min at 20:16:37 on 11-Mar-2016

RESULT for planar_1.6.tar.gz : success (138 of 202, 132 good, 6 bad) -- Now 18:57:52 This 56.7 sec, Avg 73.5 sec, exp. finish in 78.4 min at 20:16:13 on 11-Mar-2016

RESULT for polyfreqs_1.0.0.tar.gz : success (139 of 202, 133 good, 6 bad) -- Now 18:58:22 This 30.1 sec, Avg 73.1 sec, exp. finish in 76.8 min at 20:15:10 on 11-Mar-2016

RESULT for PoweR_1.0.5.tar.gz : success (140 of 202, 134 good, 6 bad) -- Now 18:59:12 This 50 sec, Avg 73 sec, exp. finish in 75.4 min at 20:14:36 on 11-Mar-2016

RESULT for PPtreeViz_1.3.0.tar.gz : success (141 of 202, 135 good, 6 bad) -- Now 18:59:42 This 30.5 sec, Avg 72.7 sec, exp. finish in 73.9 min at 20:13:35 on 11-Mar-2016

RESULT for prospectr_0.1.3.tar.gz : success (142 of 202, 136 good, 6 bad) -- Now 19:00:42 This 59.3 sec, Avg 72.6 sec, exp. finish in 72.6 min at 20:13:16 on 11-Mar-2016

RESULT for prototest_1.1.tar.gz : success (143 of 202, 137 good, 6 bad) -- Now 19:02:10 This 88.8 sec, Avg 72.7 sec, exp. finish in 71.5 min at 20:13:39 on 11-Mar-2016

RESULT for psd_1.0-1.tar.gz : success (144 of 202, 138 good, 6 bad) -- Now 19:02:48 This 37.5 sec, Avg 72.4 sec, exp. finish in 70 min at 20:12:50 on 11-Mar-2016

RESULT for psgp_0.3-6.tar.gz : success (145 of 202, 139 good, 6 bad) -- Now 19:06:00 This 191.9 sec, Avg 73.3 sec, exp. finish in 69.6 min at 20:15:36 on 11-Mar-2016

RESULT for PWD_1.0.tar.gz : success (146 of 202, 140 good, 6 bad) -- Now 19:06:20 This 20.6 sec, Avg 72.9 sec, exp. finish in 68.1 min at 20:14:24 on 11-Mar-2016

RESULT for quadrupen_0.2-4.tar.gz : success (147 of 202, 141 good, 6 bad) -- Now 19:07:44 This 83.9 sec, Avg 73 sec, exp. finish in 66.9 min at 20:14:39 on 11-Mar-2016

RESULT for quanteda_0.9.4.tar.gz : success (148 of 202, 142 good, 6 bad) -- Now 19:09:31 This 107.1 sec, Avg 73.2 sec, exp. finish in 65.9 min at 20:15:25 on 11-Mar-2016

RESULT for rags2ridges_2.0.tar.gz : success (149 of 202, 143 good, 6 bad) -- Now 19:11:04 This 92.4 sec, Avg 73.3 sec, exp. finish in 64.8 min at 20:15:51 on 11-Mar-2016

RESULT for Rborist_0.1-0.tar.gz : success (150 of 202, 144 good, 6 bad) -- Now 19:11:39 This 35 sec, Avg 73.1 sec, exp. finish in 63.3 min at 20:14:59 on 11-Mar-2016

RESULT for rcppbugs_0.1.4.2.tar.gz : success (151 of 202, 145 good, 6 bad) -- Now 19:12:29 This 50.5 sec, Avg 72.9 sec, exp. finish in 62 min at 20:14:29 on 11-Mar-2016

RESULT for RcppDE_0.1.5.tar.gz : success (152 of 202, 146 good, 6 bad) -- Now 19:13:03 This 34.1 sec, Avg 72.7 sec, exp. finish in 60.6 min at 20:13:38 on 11-Mar-2016

RESULT for RcppMLPACK_1.0.10-2.tar.gz : success (153 of 202, 147 good, 6 bad) -- Now 19:16:26 This 203.1 sec, Avg 73.5 sec, exp. finish in 60.1 min at 20:16:30 on 11-Mar-2016

RESULT for RealVAMS_0.3-2.tar.gz : success (154 of 202, 148 good, 6 bad) -- Now 19:17:24 This 57.3 sec, Avg 73.4 sec, exp. finish in 58.7 min at 20:16:09 on 11-Mar-2016

RESULT for redist_1.2.tar.gz : success (155 of 202, 149 good, 6 bad) -- Now 19:18:44 This 80.3 sec, Avg 73.5 sec, exp. finish in 57.6 min at 20:16:17 on 11-Mar-2016

RESULT for repolr_3.4.tar.gz : success (156 of 202, 150 good, 6 bad) -- Now 19:19:52 This 67.7 sec, Avg 73.4 sec, exp. finish in 56.3 min at 20:16:10 on 11-Mar-2016

RESULT for resemble_1.2.2.tar.gz : success (157 of 202, 151 good, 6 bad) -- Now 19:20:47 This 55.2 sec, Avg 73.3 sec, exp. finish in 55 min at 20:15:47 on 11-Mar-2016

RESULT for revealedPrefs_0.2.tar.gz : success (158 of 202, 152 good, 6 bad) -- Now 19:21:29 This 41.7 sec, Avg 73.1 sec, exp. finish in 53.6 min at 20:15:06 on 11-Mar-2016

RESULT for rgam_0.6.3.tar.gz : success (159 of 202, 153 good, 6 bad) -- Now 19:22:19 This 50.3 sec, Avg 73 sec, exp. finish in 52.3 min at 20:14:37 on 11-Mar-2016

RESULT for rmgarch_1.3-0.tar.gz : failure (160 of 202, 153 good, 7 bad) -- Now 19:22:57 This 38.5 sec, Avg 72.8 sec, exp. finish in 50.9 min at 20:13:54 on 11-Mar-2016

RESULT for robustgam_0.1.7.tar.gz : success (161 of 202, 154 good, 7 bad) -- Now 19:23:49 This 51.3 sec, Avg 72.6 sec, exp. finish in 49.6 min at 20:13:27 on 11-Mar-2016

RESULT for robustHD_0.5.1.tar.gz : success (162 of 202, 155 good, 7 bad) -- Now 19:25:18 This 88.8 sec, Avg 72.7 sec, exp. finish in 48.5 min at 20:13:47 on 11-Mar-2016

RESULT for robustreg_0.1-9.tar.gz : success (163 of 202, 156 good, 7 bad) -- Now 19:26:12 This 54.6 sec, Avg 72.6 sec, exp. finish in 47.2 min at 20:13:24 on 11-Mar-2016

RESULT for rotations_1.5.tar.gz : success (164 of 202, 157 good, 7 bad) -- Now 19:27:27 This 74.8 sec, Avg 72.6 sec, exp. finish in 46 min at 20:13:27 on 11-Mar-2016

RESULT for Rphylopars_0.1.1.tar.gz : success (165 of 202, 158 good, 7 bad) -- Now 19:28:47 This 79.6 sec, Avg 72.7 sec, exp. finish in 44.8 min at 20:13:36 on 11-Mar-2016

RESULT for rstpm2_1.3.1.tar.gz : success (166 of 202, 159 good, 7 bad) -- Now 19:30:27 This 100.9 sec, Avg 72.8 sec, exp. finish in 43.7 min at 20:14:10 on 11-Mar-2016

RESULT for rugarch_1.3-6.tar.gz : failure (167 of 202, 159 good, 8 bad) -- Now 19:30:47 This 19.5 sec, Avg 72.5 sec, exp. finish in 42.3 min at 20:13:05 on 11-Mar-2016

RESULT for sbmSDP_0.2.tar.gz : success (168 of 202, 160 good, 8 bad) -- Now 19:31:14 This 26.5 sec, Avg 72.3 sec, exp. finish in 40.9 min at 20:12:10 on 11-Mar-2016

RESULT for SBSA_0.2.3.tar.gz : success (169 of 202, 161 good, 8 bad) -- Now 19:32:13 This 59.4 sec, Avg 72.2 sec, exp. finish in 39.7 min at 20:11:55 on 11-Mar-2016

RESULT for SelvarMix_1.1.tar.gz : success (170 of 202, 162 good, 8 bad) -- Now 19:33:14 This 61.4 sec, Avg 72.1 sec, exp. finish in 38.5 min at 20:11:42 on 11-Mar-2016

RESULT for seqHMM_1.0.5.tar.gz : success (171 of 202, 163 good, 8 bad) -- Now 19:37:25 This 250.3 sec, Avg 73.2 sec, exp. finish in 37.8 min at 20:15:12 on 11-Mar-2016

RESULT for sgd_1.1.tar.gz : success (172 of 202, 164 good, 8 bad) -- Now 19:38:03 This 38.9 sec, Avg 73 sec, exp. finish in 36.5 min at 20:14:32 on 11-Mar-2016

RESULT for sglOptim_1.2.0.tar.gz : success (173 of 202, 165 good, 8 bad) -- Now 19:39:55 This 111.5 sec, Avg 73.2 sec, exp. finish in 35.4 min at 20:15:17 on 11-Mar-2016

RESULT for sirt_1.10-0.tar.gz : success (174 of 202, 166 good, 8 bad) -- Now 19:44:07 This 251.6 sec, Avg 74.2 sec, exp. finish in 34.6 min at 20:18:44 on 11-Mar-2016

RESULT for slfm_0.2.2.tar.gz : success (175 of 202, 167 good, 8 bad) -- Now 19:44:39 This 32.5 sec, Avg 74 sec, exp. finish in 33.3 min at 20:17:56 on 11-Mar-2016

RESULT for smoof_1.3.tar.gz : success (176 of 202, 168 good, 8 bad) -- Now 19:45:32 This 52.8 sec, Avg 73.8 sec, exp. finish in 32 min at 20:17:32 on 11-Mar-2016

RESULT for snipEM_1.0.tar.gz : success (177 of 202, 169 good, 8 bad) -- Now 19:46:00 This 27.8 sec, Avg 73.6 sec, exp. finish in 30.7 min at 20:16:39 on 11-Mar-2016

RESULT for SparseFactorAnalysis_1.0.tar.gz : success (178 of 202, 170 good, 8 bad) -- Now 19:46:47 This 47.2 sec, Avg 73.4 sec, exp. finish in 29.4 min at 20:16:09 on 11-Mar-2016

RESULT for sparsereg_1.2.tar.gz : success (179 of 202, 171 good, 8 bad) -- Now 19:48:05 This 77.7 sec, Avg 73.5 sec, exp. finish in 28.2 min at 20:16:14 on 11-Mar-2016

RESULT for SpatialEpi_1.2.2.tar.gz : success (180 of 202, 172 good, 8 bad) -- Now 19:49:13 This 68.8 sec, Avg 73.4 sec, exp. finish in 26.9 min at 20:16:09 on 11-Mar-2016

RESULT for SpatialTools_1.0.2.tar.gz : success (181 of 202, 173 good, 8 bad) -- Now 19:49:57 This 43.9 sec, Avg 73.3 sec, exp. finish in 25.6 min at 20:15:36 on 11-Mar-2016

RESULT for SpatPCA_1.1.1.0.tar.gz : success (182 of 202, 174 good, 8 bad) -- Now 19:50:31 This 33.6 sec, Avg 73.1 sec, exp. finish in 24.4 min at 20:14:52 on 11-Mar-2016

RESULT for spBayesSurv_1.0.3.tar.gz : success (183 of 202, 175 good, 8 bad) -- Now 19:52:47 This 136.3 sec, Avg 73.4 sec, exp. finish in 23.2 min at 20:16:02 on 11-Mar-2016

RESULT for spduration_0.15.0.tar.gz : success (184 of 202, 176 good, 8 bad) -- Now 19:53:37 This 49.4 sec, Avg 73.3 sec, exp. finish in 22 min at 20:15:36 on 11-Mar-2016

RESULT for starma_1.3.tar.gz : success (185 of 202, 177 good, 8 bad) -- Now 19:54:19 This 41.9 sec, Avg 73.1 sec, exp. finish in 20.7 min at 20:15:01 on 11-Mar-2016

RESULT for stm_1.1.3.tar.gz : success (186 of 202, 178 good, 8 bad) -- Now 19:55:30 This 71.7 sec, Avg 73.1 sec, exp. finish in 19.5 min at 20:15:00 on 11-Mar-2016

RESULT for stochvol_1.2.3.tar.gz : success (187 of 202, 179 good, 8 bad) -- Now 19:56:27 This 56.7 sec, Avg 73 sec, exp. finish in 18.3 min at 20:14:42 on 11-Mar-2016

RESULT for stpm_1.1.2.tar.gz : success (188 of 202, 180 good, 8 bad) -- Now 19:57:17 This 50.4 sec, Avg 72.9 sec, exp. finish in 17 min at 20:14:18 on 11-Mar-2016

RESULT for strum_0.6.2.tar.gz : success (189 of 202, 181 good, 8 bad) -- Now 19:58:35 This 78 sec, Avg 72.9 sec, exp. finish in 15.8 min at 20:14:23 on 11-Mar-2016

RESULT for survAccuracyMeasures_1.2.tar.gz : success (190 of 202, 182 good, 8 bad) -- Now 19:59:28 This 52.8 sec, Avg 72.8 sec, exp. finish in 14.6 min at 20:14:02 on 11-Mar-2016

RESULT for SVMMatch_1.1.tar.gz : success (191 of 202, 183 good, 8 bad) -- Now 19:59:54 This 25.2 sec, Avg 72.6 sec, exp. finish in 13.3 min at 20:13:12 on 11-Mar-2016

RESULT for synlik_0.1.1.tar.gz : success (192 of 202, 184 good, 8 bad) -- Now 20:01:11 This 77.5 sec, Avg 72.6 sec, exp. finish in 12.1 min at 20:13:17 on 11-Mar-2016

RESULT for TAM_1.16-0.tar.gz : success (193 of 202, 185 good, 8 bad) -- Now 20:04:02 This 170.6 sec, Avg 73.1 sec, exp. finish in 11 min at 20:15:00 on 11-Mar-2016

RESULT for TauStar_1.1.0.tar.gz : success (194 of 202, 186 good, 8 bad) -- Now 20:06:37 This 155.6 sec, Avg 73.5 sec, exp. finish in 9.8 min at 20:16:25 on 11-Mar-2016

RESULT for TED_1.1.1.tar.gz : success (195 of 202, 187 good, 8 bad) -- Now 20:07:12 This 35 sec, Avg 73.3 sec, exp. finish in 8.6 min at 20:15:45 on 11-Mar-2016

RESULT for textmineR_1.6.0.tar.gz : success (196 of 202, 188 good, 8 bad) -- Now 20:08:23 This 70.3 sec, Avg 73.3 sec, exp. finish in 7.3 min at 20:15:42 on 11-Mar-2016

RESULT for timma_1.2.1.tar.gz : success (197 of 202, 189 good, 8 bad) -- Now 20:09:16 This 53.7 sec, Avg 73.2 sec, exp. finish in 6.1 min at 20:15:22 on 11-Mar-2016

RESULT for treeclim_1.0.15.tar.gz : success (198 of 202, 190 good, 8 bad) -- Now 20:10:20 This 63.3 sec, Avg 73.2 sec, exp. finish in 4.9 min at 20:15:12 on 11-Mar-2016

RESULT for tsBSS_0.1.tar.gz : success (199 of 202, 191 good, 8 bad) -- Now 20:10:44 This 24.2 sec, Avg 72.9 sec, exp. finish in 3.6 min at 20:14:22 on 11-Mar-2016

RESULT for unmarked_0.11-0.tar.gz : success (200 of 202, 192 good, 8 bad) -- Now 20:13:17 This 153.2 sec, Avg 73.3 sec, exp. finish in 2.4 min at 20:15:44 on 11-Mar-2016

RESULT for VarSelLCM_1.2.tar.gz : success (201 of 202, 193 good, 8 bad) -- Now 20:14:21 This 64 sec, Avg 73.3 sec, exp. finish in 1.2 min at 20:15:34 on 11-Mar-2016

RESULT for zic_0.9.tar.gz : success (202 of 202, 194 good, 8 bad) -- Now 20:14:55 This 34.3 sec, Avg 73.1 sec, exp. finish in 0 min at 20:14:55 on 11-Mar-2016
                     pkg res
1          AbsFilterGSEA   0
2                   ACEt   0
3       AdaptiveSparsity   0
4                    AHR   0
5                 Amelia   0
6               arrApply   0
7                 ASPBay   0
8                   aSPU   0
9                 BaBooN   0
10              BacArena   0
11             BayesComm   0
12                bayesm   0
13                 bayou   0
14                   bcp   0
15                   bfa   0
16           BIFIEsurvey   0
17              biglasso   0
18                 BIPOD   0
19           blockmodels   0
20              blockseg   0
21              BTLLasso   0
22                bvarsv   0
23                 ccaPP   0
24                  cccp   0
25                   cda   0
26                   CDM   0
27                   CFC   0
28    ChannelAttribution   0
29                  cIRT   0
30             cladoRcpp   0
31                 coala   0
32              coneproj   0
33                copCAR   0
34                  cord   0
35               CoxPlus   0
36                 crawl   0
37             Crossover   0
38             DepthProc   0
39                dfcomb   0
40                 dfmta   0
41         DiffusionRgqd   0
42        DiffusionRjgqd   0
43                  dina   0
44                 drgee   0
45                ECctmc   0
46             EloChoice   0
47                 emIRT   0
48                 EPGLM   0
49                EstHer   0
50          FastBandChol   0
51                 fastM   0
52             FBFsearch   0
53              fdaMixed   0
54                FDRreg   0
55                 FIACH   1
56                  fICA   0
57              FisHiCal   0
58                  flip   0
59              forecast   1
60               fourPNO   0
61             FRESA.CAD   0
62              gaselect   0
63          GeneticTools   0
64              geoCount   0
65                 GERGM   0
66                 GiRaF   0
67                  gjam   0
68             glamlasso   0
69                  glcm   0
70              glmgraph   0
71                  GMCM   0
72                gmum.r   1
73                  gmwm   0
74                  gMWT   0
75                 GPvam   0
76                 gRain   0
77          graphicalVAR   0
78                gRbase   0
79                  gRim   0
80            growcurves   0
81         growfunctions   0
82                   GSE   0
83                hawkes   0
84               HLMdiag   0
85                  HSAR   0
86               hsphase   0
87           hypervolume   1
88               iBATCGH   0
89                icamix   0
90               iccbeta   0
91              iLaplace   0
92                 immer   0
93                JAGUAR   0
94                  jmcm   0
95                jmotif   0
96             kdecopula   0
97              Langevin   0
98                  lpme   0
99                  lsgl   0
100         Luminescence   0
101           markophylo   0
102          markovchain   0
103                  MAT   0
104      matchingMarkets   0
105            matchingR   0
106              mcemGLM   0
107                mcIRT   0
108               mcmcse   0
109            metafolio   0
110                 mets   0
111                  mev   0
112                 mirt   0
113              mirtCAT   0
114                miscF   0
115      MixedDataImpute   0
116             mixedMem   0
117              mixpack   0
118               Morpho   1
119              moveHMM   0
120                   mp   0
121           Mposterior   0
122              MRIaggr   0
123                  MRS   0
124                 msgl   1
125                  MVB   0
126              mvnfast   0
127               netcoh   0
128          netdiffuseR   0
129            ngspatial   0
130                 NNLM   0
131                  oem   0
132            onlinePCA   0
133                PACVB   0
134           PanelCount   0
135                pcalg   0
136               PedCNV   0
137          phylosignal   0
138               planar   0
139            polyfreqs   0
140                PoweR   0
141            PPtreeViz   0
142            prospectr   0
143            prototest   0
144                  psd   0
145                 psgp   0
146                  PWD   0
147            quadrupen   0
